statuses,date_joined,most_recent_post,following,followers,favourites,lists,tweets_this_week,retweet,retweeted_count,userNameScore,avg_tweets_by_day_of_week,engagment_rate,screen_name,account_type
73309,2010,2023,1969.0,327800.0,2240,5513,0.0,0.0,22807.0,0.5,28.571,6.96,takashipom,1.0
5769,2010,2023,712.0,517.0,3630,11,3.0,10.0,33855.0,0.7142857142857143,28.571,6548.36,ginonem,1.0
49109,2010,2023,3639.0,99222.0,9916,558,9.0,106.0,34520.0,0.65,28.571,34.79,arlenephillips,1.0
26128,2010,2023,445.0,1512642.0,14655,377,7.0,150.0,34459.0,0.8181818181818181,28.571,2.28,guttajwala,1.0
6973,2010,2023,991.0,1159734.0,10297,2652,2.0,50.0,9867.0,0.9166666666666666,28.571,0.85,duffmckagan,1.0
2790,2010,2023,35.0,29.0,981,0,0.0,8.0,6924.0,0.2727272727272727,28.571,23875.86,pjcullen67,0.0
279381,2010,2023,825.0,1192.0,2781,7,54.0,118.0,773145.0,0.1153846153846154,28.143,64861.16,mccentricity,1.0
13152,2010,2023,1615.0,1372025.0,7639,1540,1.0,6.0,1342.0,0.8125,28.429,0.1,bethanyhamilton,1.0
9036,2010,2023,251.0,2436954.0,3046,1120,4.0,12.0,18961.0,0.3846153846153846,28.571,0.78,jiivaofficial,1.0
11068,2010,2023,77.0,272701.0,46,667,0.0,0.0,195.0,0.0,28.571,0.07,masha_tsigal,1.0
2709,2010,2023,2639.0,1408.0,3054,27,0.0,140.0,22652.0,0.0833333333333333,28.571,1608.81,kgoldshlager,1.0
5067,2010,2023,844.0,33766.0,960,622,2.0,44.0,2129.0,0.7692307692307692,28.571,6.31,chrisburkard,1.0
5789,2010,2023,178.0,376.0,9424,2,0.0,44.0,313165.0,0.8571428571428572,27.571,83288.56,victorwilllian,1.0
63220,2010,2023,1204.0,636684.0,15279,683,46.0,36.0,3247.0,0.4736842105263158,28.571,0.51,jfcadavid,1.0
23056,2010,2023,1600.0,527295.0,2095,231,14.0,18.0,2161.0,0.5555555555555556,28.571,0.41,binanepram,1.0
31747,2010,2023,1503.0,906.0,69,8,8.0,0.0,0.0,0.7142857142857143,28.571,0.0,chops42087,1.0
18702,2010,2023,365.0,3024963.0,6364,3650,8.0,108.0,153495.0,0.1818181818181817,28.571,5.07,danirovira,1.0
17021,2010,2023,408.0,317864.0,1082,255,4.0,14.0,14572.0,0.4615384615384615,28.571,4.58,katyamtz,1.0
135400,2010,2023,81434.0,84158.0,6,680,12.0,0.0,1.0,0.6363636363636364,28.571,0.0,afabbiano,0.0
7124,2010,2023,244.0,1722.0,3157,0,0.0,2.0,3410.0,0.1999999999999999,28.0,198.03,bankbank_juice,0.0
5633,2010,2023,2566.0,4710.0,2035,317,6.0,76.0,3218.0,0.7,28.571,68.32,deantscott,1.0
