HasProfilePicture,following,follower,HasAccountDescription,likes,posts,AverageNumberOfHashtags,AverageNumberOfComments,AverageNumberOfShare,AverageNumberOfLikes,AverageNumberOfLinkedProfiles,AverageNumberOfViews,IsABot,username
1.0,204.0,830.0,1.0,9702.0,20.0,10.7,7.8,37.15,259.45,0.2,5910.5,0.0,
1.0,106.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,216.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,260.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,445.0,20.0,0.0,11.0,3.0,6.0,0.0,0.0,3.67,0.67,12.67,1.0,
1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,175.0,78.0,1.0,562.0,20.0,0.15,2.5,0.25,24.7,0.05,194.8,0.0,
1.0,424.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,663.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,39.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,395.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,105.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,310.0,9980.0,1.0,12000.0,20.0,5.65,15.9,0.1,284.95,0.25,774.85,0.0,
1.0,282.0,380.0,1.0,2081.0,6.0,0.0,0.0,3.67,23.33,0.5,246.5,0.0,
1.0,805.0,40.0,1.0,1.0,3.0,0.0,0.0,0.0,0.33,0.0,356.33,1.0,
0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,49.0,85400.0,1.0,327200.0,20.0,7.25,19.35,137.9,795.65,0.1,11023.1,0.0,
1.0,114.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,27.0,5.0,0.0,2.0,3.0,1.0,0.0,0.0,0.33,0.0,2.67,0.0,
1.0,511.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,144.0,623000.0,1.0,7800000.0,20.0,4.45,923.7,3309.45,94970.8,0.35,528385.0,0.0,
1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,479.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,67.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,94.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,852.0,15.0,0.0,34.0,15.0,0.07,0.2,0.07,2.2,0.07,33.07,0.0,
1.0,10000.0,179.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,1646.0,3418.0,1.0,463.0,1.0,0.0,13.0,4.0,463.0,0.0,1760.0,1.0,
1.0,256.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,1791.0,106.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,111.0,1.0,
1.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,57.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,228.0,211.0,1.0,844.0,20.0,0.95,1.4,0.0,16.7,0.85,346.05,0.0,
1.0,82.0,286.0,1.0,3140.0,20.0,1.55,0.85,0.25,11.9,0.0,105.05,0.0,
1.0,29.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,129.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,108.0,130400.0,1.0,732100.0,20.0,4.05,19.85,12.05,1260.8,0.15,13438.15,0.0,
1.0,145.0,179300.0,1.0,2400000.0,12.0,5.33,38.75,42.5,1485.0,0.08,21654.0,0.0,
1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,1871.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,420.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,353.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,1333.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,55.0,218900.0,1.0,6500000.0,20.0,5.5,754.45,173.45,33359.85,0.3,310875.0,0.0,
1.0,388.0,114.0,0.0,217.0,16.0,5.19,0.06,0.56,7.81,0.62,246.5,1.0,
1.0,162.0,107700.0,1.0,838300.0,20.0,3.0,601.55,684.0,39426.8,0.65,251213.1,0.0,
1.0,1777.0,7408.0,1.0,76800.0,20.0,5.4,88.5,78.15,3107.1,0.5,16086.45,0.0,
1.0,840.0,2710.0,1.0,23000.0,20.0,10.35,42.25,11.45,773.7,0.05,10743.85,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,1423.0,23.0,0.0,498.0,4.0,0.25,0.0,0.0,124.5,0.0,125.5,1.0,
1.0,1055.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,378.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
