Id	IsAccountPrivate	IsVerified	HasProfilePicture	AnzahlFolgeIch	AnzahlFollower	AnzahlLikes	HasInstagramLink	HasYoutubeLink	HasAccountDescription	HasLinkInDescription	LinkInDescription	PostsExist	AnzahlPosts	AreLikedVideosPrivate	NumberOfLikedVideos	VerhaeltnisFolgeIchProFollower	VerhaeltnisLikesProFollower	AverageNumberOfHashtags	AverageNumberOfComments	AverageNumberOfCharacters	AverageNumberOfForwardings	AverageNumberOfLikes	AverageNumberOfLinkedProfiles	AverageNumberOfUsedFilters	LikedAverageNumberOfHashtags	LikedAverageNumberOfComments	LikedAverageNumberOfCharacters	LikedAverageNumberOfForwardings	LikedAverageNumberOfLikes	LikedAverageNumberOfLinkedProfiles	LikedAverageNumberOfUsedFilters	AverageNumberOfViews	LikedAverageNumberOfViews	VerhaeltnisLikesProAufruf	VerhaeltnisCommentsProAufruf	IsABot
3F01BC03-75D5-48D4-8174-0072FD4A732C	False	False	True	320	4	4	False	False	False	False		True	4	True	0	80.0	1.0	0.25	0.0	2.75	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.75	0.0	0.26666666666666666	0.0	
E0EA6355-846B-4622-B847-0073A0602C1B	False	False	True	3788	1606	11000	False	False	True	False		True	20	False	20	2.3586550435865505	6.8493150684931505	0.05	1.1	1.6	-1.0	135.6	0.0	0.0	1.15	13.2	37.95	-1.0	2624.5	0.05	0.05	561.0	31737.5	0.24171122994652405	0.00196078431372549	True
620BA564-0191-4DA4-B2A3-0079ADEEC003	False	False	True	42	6	1	False	False	False	False		False	0	True	0	7.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
4ECA6558-D5FC-43A1-A60F-00973DD1B192	False	False	True	8	1	0	False	False	False	False		False	0	True	0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
B1989496-8525-40D1-97D0-009AE610EAD7	False	False	True	597	118	201	False	False	False	False		True	15	False	20	5.059322033898305	1.7033898305084745	0.3333333333333333	0.8666666666666667	10.333333333333334	0.13333333333333333	13.2	0.0	0.13333333333333333	3.0	6.5	59.55	5.25	566.25	0.25	0.1	1469.4666666666667	7204.3	0.008982850920969059	0.0005897831412757463	True
72321EFA-F74C-462D-87C9-009DBF11098B	False	False	True	1214	42	5	False	False	True	False		True	1	True	0	28.904761904761905	0.11904761904761904	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.29411764705882354	0.058823529411764705	
022FB03A-8805-401D-907E-00A260D9194A	False	False	True	285	7	6	False	False	False	False		True	3	True	0	40.714285714285715	0.8571428571428571	1.6666666666666667	0.0	24.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.333333333333334	0.0	0.21428571428571427	0.0	
EF69985F-F76C-43D2-92F2-00A2FA064B5A	False	False	True	68	23	6	False	False	True	False		False	0	True	0	2.9565217391304346	0.2608695652173913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
26B04375-A6C0-4659-86CD-00A886688E6D	False	False	True	1063	217	1124	False	True	False	False		True	20	True	0	4.8986175115207375	5.179723502304148	0.9	0.35	35.7	0.05	4.55	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.45	0.0	0.04274307186472522	0.003287928604978863	
D0845F3B-F2AB-48D1-B876-00A9683AA6CB	False	False	True	85	0	0	False	False	True	False		False	0	True	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True
