IsVerified,HasProfilePicture,following,follower,HasAccountDescription,likes,posts,AverageNumberOfHashtags,AverageNumberOfComments,AverageNumberOfShare,AverageNumberOfLikes,AverageNumberOfLinkedProfiles,AverageNumberOfViews,avg_videos_by_day_of_week,IsABot
0.0,1.0,3519.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,831.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,1131.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,1460.0,418.0,1.0,3117.0,20.0,0.2,1.25,0.1,19.75,1.7,162.9,2.86,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,155.0,220.0,0.0,1589.0,20.0,0.3,0.5,0.0,5.3,0.3,48.35,2.86,-1.0
0.0,1.0,15.0,1766.0,1.0,63100.0,20.0,1.9,7.4,5.35,1384.35,0.45,21870.1,2.86,0.0
0.0,1.0,3249.0,227.0,0.0,6.0,1.0,0.0,0.0,0.0,6.0,0.0,32.0,0.14,1.0
0.0,1.0,365.0,17.0,0.0,506.0,20.0,0.8,0.25,0.25,1.4,0.25,18.4,2.86,-1.0
0.0,1.0,144.0,5.0,0.0,4.0,9.0,0.78,0.11,0.0,0.44,0.11,1.0,1.29,-1.0
0.0,1.0,22.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,200.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,90.0,204.0,1.0,3914.0,4.0,2.25,14.5,1.5,970.5,0.0,18724.0,0.57,0.0
0.0,1.0,409.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,258.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,80.0,13.0,0.0,15.0,20.0,0.0,0.0,0.0,0.75,0.0,3.3,2.86,-1.0
0.0,1.0,151.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,741.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,49.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,707.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,2491.0,302.0,1.0,3148.0,20.0,1.3,0.35,0.2,22.7,0.15,291.6,2.86,-1.0
0.0,1.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,13.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.5,1.0,0.0,19.0,0.29,0.0
0.0,1.0,2408.0,151.0,0.0,464.0,20.0,0.4,0.1,0.0,3.15,0.15,12.95,2.86,-1.0
0.0,1.0,5471.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,30.0,2.0,0.0,1.0,2.0,0.5,0.0,0.0,0.5,0.0,0.5,0.29,-1.0
0.0,1.0,206.0,9.0,0.0,10.0,7.0,1.71,0.29,0.0,1.43,0.0,12.0,1.0,-1.0
0.0,1.0,486.0,46.0,0.0,72.0,13.0,0.38,0.0,0.31,5.54,0.0,35.92,1.86,-1.0
0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,205.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,8.0,27.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,315.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,463.0,15.0,0.0,6.0,2.0,0.0,0.0,0.0,3.0,0.0,6.5,0.29,1.0
0.0,1.0,622.0,32.0,1.0,13.0,15.0,2.73,0.0,0.0,0.87,0.0,37.4,2.14,-1.0
0.0,1.0,539.0,11.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,1409.0,323.0,1.0,1497.0,20.0,0.85,1.95,0.15,42.6,0.15,538.7,2.86,-1.0
0.0,1.0,107.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,8734.0,175.0,1.0,197.0,9.0,3.22,2.44,0.89,18.78,0.11,62.22,1.29,-1.0
0.0,1.0,38.0,2.0,0.0,33.0,17.0,0.53,0.12,0.0,1.94,0.06,58.82,2.43,-1.0
0.0,1.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,2996.0,133.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,3038.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,260.0,28.0,0.0,235.0,20.0,0.2,0.0,0.0,4.85,0.05,156.6,2.86,-1.0
0.0,1.0,1046.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,5280.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,774.0,36.0,0.0,18.0,16.0,0.0,0.0,0.0,1.12,0.0,53.5,2.29,-1.0
0.0,1.0,113.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,492.0,45.0,0.0,85.0,20.0,0.4,0.0,0.0,3.45,0.0,19.6,2.86,-1.0
0.0,1.0,16.0,0.0,0.0,0.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.71,-1.0
0.0,1.0,2563.0,81.0,0.0,167.0,20.0,0.15,0.25,0.0,3.2,0.05,32.25,2.86,-1.0
0.0,1.0,13.0,2.0,1.0,3.0,3.0,2.67,1.33,0.0,1.0,0.33,11.33,0.43,0.0
0.0,1.0,3297.0,163.0,0.0,111.0,20.0,0.2,0.0,0.0,3.8,0.05,57.35,2.86,-1.0
0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,380.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,6137.0,357.0,1.0,1587.0,20.0,0.7,0.6,0.0,5.05,0.5,14.5,2.86,-1.0
0.0,1.0,339.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,107.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
