rank_test_score,mean_test_score,mean_train_score,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion
88,0.8086848398478154,0.810040957852268,110,0.035,0.035,sqrt,15,entropy
89,0.8086008339644399,0.8090479560664404,60,0.025,0.035,log2,,entropy
90,0.8083129940247803,0.8091290173405737,60,0.035,0.035,sqrt,,gini
91,0.8082282453324122,0.8092440230593212,210,0.005,0.035,log2,,gini
92,0.8081642122683338,0.8102126361935466,10,0.035,0.025,sqrt,,gini
93,0.8076416304028937,0.8088397110796852,160,0.035,0.035,sqrt,25,entropy
94,0.8076081311916261,0.8080908669780413,160,0.025,0.035,log2,5,gini
95,0.8075999785676037,0.809308700112561,210,0.015,0.035,sqrt,5,gini
96,0.807470438416352,0.8081579965151664,110,0.035,0.035,log2,,gini
97,0.8071532667668402,0.8081151145138267,210,0.005,0.035,log2,5,gini
98,0.8071399006496106,0.8082946357618744,160,0.035,0.035,log2,5,gini
99,0.8054196058683464,0.806969403650268,210,0.015,0.035,log2,5,gini
100,0.8052631999161713,0.8067910779580529,60,0.005,0.035,sqrt,15,gini
