verified,statuses,location,date_joined,most_recent_post,following,followers,likes,lists,tweet_language,tweets_this_week,retweet,retweeted_count,URL works,userNameScore,avg_tweets_by_hour_of_day,avg_ssgtweets_by_day_of_week,account_type,screen_name
0,10721,1,2009,2023,1292.0,392.0,2708,0,1,0.0,56.0,222639.0,0,0.7777777777777778,7.292,25.0,1,PapiMikee
0,18517,1,2010,2023,980.0,1700.0,19094,82,1,4.0,18.0,41041.0,0,0.0,8.333,28.571,1,brandnewwatch
0,776,0,2017,2017,0.0,0.0,361,0,1,0.0,136.0,57021.0,0,0.1111111111111111,6.458,22.143,1,fay_alexa
0,1761,1,2017,2017,212.0,139.0,1282,0,7,0.0,146.0,177977.0,0,0.8,6.167,21.143,1,andre_marquezan
0,47140,1,2014,2023,45543.0,48611.0,45403,34,1,4.0,144.0,617553.0,0,0.2857142857142857,8.333,28.571,1,donohue_rebekah
0,2831,1,2009,2023,296.0,106.0,55942,2,1,10.0,130.0,377085.0,0,0.9090909090909092,8.25,28.286,1,Mssleepy876
1,4474,1,2011,2020,674.0,37756.0,1480,439,1,0.0,40.0,5979.0,1,0.7692307692307692,8.292,28.429,1,johnvarvatos
0,182,0,2017,2017,0.0,0.0,126,0,1,0.0,124.0,334025.0,0,0.0,6.333,21.714,1,iqvrowsw539
1,4340,0,2009,2023,525.0,960642.0,1948,2147,2,1.0,10.0,43341.0,0,0.125,8.292,28.429,1,TheCUTCH22
0,2890,0,2011,2023,266.0,104.0,6352,4,1,4.0,24.0,134588.0,0,0.0,8.333,28.571,1,enorbs
1,2454,0,2010,2023,333.0,821568.0,2425,807,10,1.0,36.0,7182.0,1,0.7142857142857143,8.333,28.571,1,tomasgonzalez1
0,3389,0,2008,2017,0.0,23.0,2331,1,1,0.0,136.0,341564.0,0,0.0,5.667,19.429,0,hesgunit
0,208183,1,2012,2023,8595.0,1065352.0,31308,2314,10,200.0,76.0,11411.0,1,0.65,8.333,28.571,1,ChuoTorrealba
0,3142,0,2012,2017,0.0,108.0,2232,0,1,0.0,126.0,340192.0,0,0.3846153846153846,5.292,18.143,0,TobbeTwittarn
0,2052,1,2013,0,93.0,26.0,1906,1,0,0.0,0.0,0.0,1,0.9,0.0,0.0,0,DrewSevan
0,73708,1,2011,2023,5503.0,5016.0,161333,104,1,10.0,164.0,218000.0,0,0.1999999999999999,8.208,28.143,1,ForLuvOfAnimals
0,420,0,2015,2022,468.0,91.0,197,0,1,0.0,0.0,2.0,0,0.4615384615384615,8.333,28.571,0,PhotoByNelson
0,220,0,2012,2017,1246.0,15.0,34,1,1,0.0,136.0,553661.0,0,1.0,7.667,26.286,1,jamiekittrell
1,30273,1,2009,2023,3753.0,1750757.0,143,9529,1,1.0,58.0,83393.0,1,0.75,8.333,28.571,1,georgelopez
0,3211,1,2012,2017,0.0,18.0,2279,0,1,0.0,124.0,310053.0,1,0.7058823529411764,5.167,17.714,0,MyVGateshead
1,85482,1,2011,2023,2285.0,2342.0,107431,52,11,18.0,56.0,61076.0,0,0.7142857142857143,8.333,28.571,1,Ditti33
0,4397,1,2009,2023,113.0,34.0,3132,5,12,0.0,6.0,66201.0,1,0.9166666666666666,8.292,28.429,1,DonnaZalter
0,10232,1,2009,2023,913.0,13485.0,40991,156,1,1.0,24.0,81733.0,0,0.3333333333333333,8.333,28.571,1,Tcann13
0,219,0,2016,2017,0.0,0.0,78,0,1,0.0,134.0,202681.0,0,0.0,7.583,26.0,1,potter_darci
0,1600,0,2014,2017,142.0,17.0,1127,1,1,0.0,136.0,421875.0,0,0.0,5.708,19.571,0,644077293
1,1614,1,2014,2023,140.0,1508882.0,634,4710,1,2.0,28.0,147456.0,1,0.1875,8.333,28.571,1,GRRMspeaking
0,160,1,2015,2018,505.0,584.0,9335,0,13,0.0,10.0,141563.0,1,0.0,2.542,8.714,1,imaichi_mk_0327
0,61943,0,2010,2023,1288.0,1046.0,6,16,13,98.0,0.0,0.0,0,0.0,8.333,28.571,0,pentarodayo
1,26812,0,2007,2023,985.0,12606139.0,1009,44178,1,21.0,16.0,59807.0,1,0.8,8.333,28.571,1,richardbranson
0,2650,0,2011,2022,14.0,6.0,1853,0,1,0.0,118.0,397686.0,0,0.1666666666666666,5.042,17.286,0,rosquito86
1,53857,1,2011,2023,3007.0,31772.0,147680,295,2,84.0,38.0,210131.0,1,0.0769230769230768,8.333,28.571,1,MorganicInk
0,75690,1,2010,2023,898.0,1456.0,96480,4,1,93.0,74.0,243678.0,0,0.1999999999999999,8.208,28.143,1,saraidubai
0,18,0,2012,2020,91.0,2.0,100,0,6,0.0,10.0,42763.0,0,0.2307692307692307,0.667,2.286,0,RSandatharuka
0,295,1,2010,0,315.0,79.0,5806,0,0,0.0,0.0,0.0,0,0.1818181818181817,0.0,0.0,1,tkordeliski
0,85,1,2014,2018,0.0,28.0,384,0,1,0.0,34.0,4031.0,0,0.0,3.333,11.429,0,dicaccamo98
1,4696,1,2014,2023,1036.0,1656.0,9443,47,1,2.0,66.0,2575.0,0,0.7142857142857143,8.333,28.571,1,RyanJenkins_TV
1,1768,1,2013,2023,122.0,5192116.0,1047,2060,2,2.0,20.0,129783.0,1,0.2142857142857143,8.333,28.571,1,ElNennY
1,732,1,2012,2023,70.0,304233.0,119,3716,1,0.0,12.0,11896.0,1,0.7857142857142857,8.333,28.571,1,danieldennett
0,10783,1,2009,2017,250.0,129.0,1761,0,1,0.0,134.0,425773.0,1,0.6666666666666667,5.667,19.429,1,ttfamanda
0,15128,1,2012,0,756.0,320.0,90901,6,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,proflpowell
0,18892,0,2010,2023,278.0,141332.0,5660,39,14,5.0,36.0,1291924.0,1,0.6666666666666667,8.25,28.286,1,bbinko
0,2740,1,2009,2023,1480.0,106.0,4516,17,1,0.0,14.0,79659.0,0,0.0833333333333333,8.292,28.429,1,TADAMS1959
0,3219,1,2010,2017,452.0,117.0,2270,4,1,0.0,134.0,307848.0,1,0.3636363636363636,5.625,19.286,0,Ankeiscool_
0,10788,1,2009,2023,285.0,497.0,4415,1,6,3.0,8.0,65899.0,1,0.0,8.333,28.571,1,ibukucinggalak
0,65512,1,2015,2017,412.0,885.0,5890,2,9,0.0,86.0,46069.0,0,0.3333333333333333,4.167,14.286,1,coebrunin
0,29538,1,2011,2023,1834.0,1544.0,24234,98,1,0.0,86.0,904888.0,0,0.0,7.792,26.714,1,chic_cocobelle
0,2952,0,2010,2021,10.0,1.0,2141,0,1,0.0,134.0,498274.0,0,1.0,5.708,19.571,0,drsrikumarb
0,1308,1,2010,0,63.0,265.0,3238,0,0,0.0,0.0,0.0,0,0.3636363636363636,0.0,0.0,0,karimwadjih
1,16759,1,2009,2023,1614.0,1004747.0,2788,1486,1,0.0,30.0,64918.0,1,0.6153846153846154,8.292,28.429,1,KOlusola
1,137222,1,2010,2023,3802.0,1241854.0,2844,7947,1,200.0,124.0,100548.0,1,0.7272727272727273,8.333,28.571,1,mehdirhasan
0,549,0,2015,2019,80.0,232.0,4734,0,2,0.0,102.0,3657850.0,0,0.125,6.292,21.571,1,hmeader9
0,2281,1,2012,2017,167.0,21.0,1634,0,3,0.0,150.0,484369.0,0,0.0833333333333333,6.292,21.571,0,Brinsy30
1,460,0,2009,2022,2.0,692261.0,1,5921,1,0.0,62.0,42033.0,1,0.25,8.333,28.571,1,krauthammer
0,6183,1,2011,2021,834.0,446.0,3535,10,5,0.0,56.0,5245.0,0,0.5882352941176471,8.208,28.143,1,francescaonair
1,119649,1,2009,2023,285069.0,345286.0,2296,4844,1,13.0,14.0,376.0,1,0.9,8.333,28.571,1,LukeRomyn
1,73231,1,2009,2023,40771.0,491362.0,35991,4783,1,130.0,110.0,39664.0,1,0.0,8.333,28.571,1,glaad
1,12109,1,2009,2023,1510.0,2210.0,11865,41,1,9.0,22.0,154.0,1,0.7857142857142857,8.333,28.571,1,BrendanKirbyTV
1,11533,1,2008,2023,1260.0,4062.0,8524,76,1,5.0,82.0,778493.0,0,0.7272727272727273,8.292,28.429,1,karawarner
0,32,0,2012,0,11.0,5.0,240,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,tylertlhds
0,19463,1,2009,2021,193.0,248.0,150,4,1,0.0,0.0,954.0,1,0.6428571428571428,8.333,28.571,1,gaverywilson
1,5847,0,2009,2023,370.0,1399953.0,2175,0,8,1.0,0.0,11746.0,1,0.3125,8.333,28.571,1,srkbdy
0,4317,1,2010,2021,1141.0,3340.0,4144,127,1,0.0,48.0,4143.0,1,0.9230769230769232,8.333,28.571,1,StewartMader
0,9654,0,2011,2023,286.0,971.0,1377,17,1,0.0,50.0,2123266.0,1,0.25,8.083,27.714,1,3mrKawji
0,2993,1,2013,2017,27.0,9.0,2160,1,1,0.0,138.0,432202.0,0,0.4545454545454546,5.792,19.857,0,cammilimaa
0,1016,1,2012,2017,671.0,50.0,435,1,1,0.0,128.0,275692.0,0,0.0666666666666666,5.875,20.143,1,JAYROBIN69
0,50026,1,2010,2023,6378.0,12045.0,62487,556,1,30.0,138.0,138893.0,1,0.6666666666666667,8.292,28.429,1,sherryngick
0,17,0,2011,2018,0.0,13.0,320,0,1,0.0,0.0,2.0,0,0.0625,0.667,2.286,0,7226rhkdgh
0,770,1,2011,2017,0.0,23.0,423,0,1,0.0,126.0,319838.0,0,0.75,5.292,18.143,1,D_Roach9
0,77,0,2019,2019,0.0,37.0,0,10,1,0.0,0.0,14.0,0,0.7692307692307692,3.208,11.0,0,RoadTripBot_
0,204,0,2017,2017,0.0,1.0,91,0,1,0.0,134.0,99586.0,0,0.7333333333333334,6.417,22.0,1,genevaspiegel41
0,9108,0,2014,2023,311.0,1048.0,24067,0,1,0.0,140.0,2827617.0,0,0.1818181818181817,7.292,25.0,1,kayyyalexis
1,17895,0,2010,2023,224.0,3049178.0,10749,526,1,2.0,40.0,205455.0,1,0.1666666666666666,8.333,28.571,1,GAUAHAR_KHAN
0,2358,1,2009,2017,588.0,15.0,1642,0,1,0.0,134.0,439398.0,1,0.0714285714285714,5.625,19.286,0,IMIGradMike
0,2360,1,2018,2019,707.0,1100.0,554,15,1,0.0,80.0,1444.0,1,0.631578947368421,8.333,28.571,1,LatitudeNOLA
1,10879,0,2011,2022,794.0,631250.0,2234,703,1,0.0,30.0,530.0,1,0.6,8.292,28.429,1,AmeliaLilyOffic
0,45,0,2012,2018,0.0,4.0,256,0,1,0.0,26.0,8465.0,0,0.1538461538461538,1.583,5.429,0,carolchan0804
0,227,0,2017,2017,0.0,1.0,24,0,3,0.0,164.0,61429.0,0,0.0,6.875,23.571,0,qogeneigxnhzoi1
1,14827,1,2011,2022,2430.0,2260.0,6286,98,5,0.0,88.0,73436.0,1,0.1999999999999999,8.333,28.571,1,jeshuf
0,203202,1,2013,2023,3691.0,4139.0,114823,211,15,200.0,94.0,10276.0,0,1.0,8.333,28.571,1,velomarc
0,42685,1,2016,2023,159.0,140.0,67534,2,1,162.0,186.0,902450.0,0,0.1428571428571429,8.292,28.429,1,mynicknameismj
0,6902,1,2011,2023,2255.0,2766.0,2407,65,1,0.0,108.0,150229.0,1,0.6666666666666667,8.25,28.286,1,PLANactionNV
0,2778,0,2015,2017,33.0,18.0,1897,2,1,0.0,128.0,315044.0,0,0.1333333333333333,5.917,20.286,0,bahnzye
0,17395,0,2016,2023,762.0,1103.0,85069,5,16,0.0,44.0,155226.0,0,0.0,8.292,28.429,1,maria_letizia_
0,19488,0,2011,2023,907.0,303.0,93974,16,1,3.0,132.0,939475.0,0,0.1999999999999999,8.333,28.571,1,lil_lady_angie
1,9654,0,2015,2023,72.0,5221376.0,11166,3794,1,0.0,40.0,141048.0,0,0.9333333333333332,8.292,28.429,1,Stranger_Things
1,67103,1,2008,2023,4286.0,1009654.0,116839,13423,1,11.0,98.0,31693.0,1,0.5833333333333333,8.333,28.571,1,hodgman
0,812,1,2012,2022,408.0,696.0,1729,5,1,0.0,0.0,1534.0,1,0.1428571428571429,8.333,28.571,1,therealcamile
1,5482,0,2016,2023,93.0,6428674.0,4165,4477,2,6.0,12.0,775768.0,1,0.9333333333333332,8.333,28.571,1,MarcusRashford
0,1695,1,2011,2023,156.0,54.0,1008,0,16,0.0,124.0,436202.0,1,0.1538461538461538,6.0,20.571,1,clabnet
0,3133,0,2009,2021,158.0,32.0,2527,0,17,0.0,128.0,266624.0,0,0.3076923076923077,6.25,21.429,0,Shaneesquilla
0,31,0,2010,2018,0.0,10.0,151,0,1,0.0,22.0,9287.0,0,0.1666666666666666,1.25,4.286,0,ilyessou31
0,66869,1,2013,2023,838.0,2704.0,35778,17,1,61.0,18.0,160969.0,1,0.2307692307692307,7.917,27.143,1,jayjay_isokay
0,15808,1,2009,2023,89.0,14575.0,4690,29,1,1.0,46.0,161244.0,1,0.9230769230769232,8.042,27.571,1,SaraSammakia
0,724,0,2011,2020,179.0,63.0,344,1,1,0.0,54.0,967337.0,0,0.2307692307692307,6.292,21.571,1,KevinCharlesM
0,5684,1,2009,2022,439.0,415174.0,17,985,1,0.0,8.0,1903.0,0,0.8125,8.25,28.286,1,phoemelabaranda
0,8837,1,2013,2023,225.0,121.0,11874,0,7,1.0,140.0,1723088.0,1,0.0,7.625,26.143,0,Bigboy_Rose
0,83517,1,2008,2023,4151.0,4132.0,285391,102,1,5.0,134.0,714989.0,1,0.0,8.25,28.286,1,MyaNikitaEtc
0,7685,1,2013,2023,1700.0,350.0,18475,29,1,8.0,170.0,375114.0,0,0.4285714285714286,7.625,26.143,1,YaiOxon
0,2137,0,2010,2017,6.0,17.0,1415,3,1,0.0,134.0,315809.0,0,0.3333333333333333,5.583,19.143,0,lehu42
1,12985,1,2009,2023,757.0,1550566.0,247,1822,3,9.0,18.0,18024.0,0,0.0,8.333,28.571,1,ReemAbdullah
0,2855,1,2011,2017,14.0,2.0,1914,0,1,0.0,138.0,526953.0,0,0.0,5.75,19.714,0,jinks123matt
0,14544,1,2016,2023,244.0,254.0,47755,0,1,7.0,36.0,1096568.0,1,0.375,6.833,23.429,1,royislux
0,26441,1,2009,2023,4988.0,2867.0,12244,87,1,22.0,114.0,116072.0,0,0.3333333333333333,8.333,28.571,1,anton
1,4772,0,2012,2023,136592.0,533076.0,5122,612,1,75.0,4.0,972563.0,1,0.0833333333333333,8.333,28.571,0,MillsReggie
1,140162,1,2013,2023,4520.0,682194.0,68087,925,1,80.0,84.0,186191.0,1,0.6666666666666667,8.333,28.571,1,ShefVaidya
0,3376,0,2012,2023,162.0,96.0,3002,0,1,0.0,96.0,1595654.0,0,0.7142857142857143,6.458,22.143,1,Yeuryyy
0,2812,1,2011,2022,380.0,89.0,2005,3,1,0.0,130.0,363248.0,1,0.0833333333333333,5.833,20.0,0,Metromikeyz
0,316,0,2010,2017,0.0,69.0,5,0,1,0.0,44.0,22536.0,1,0.6666666666666667,8.25,28.286,1,HarreeWils
0,3806,1,2009,2023,2251.0,293.0,17216,5,1,0.0,26.0,315728.0,0,0.7142857142857143,8.292,28.429,1,CocoLicious_11
1,13152,1,2008,2023,160.0,1931546.0,2206,5487,1,11.0,64.0,181968.0,1,0.0625,8.292,28.429,1,bobatl
0,331,1,2015,2022,328.0,141.0,458,5,1,0.0,102.0,356137.0,0,0.5,8.25,28.286,1,alghuizar
0,197,1,2017,2017,0.0,22.0,38,0,1,0.0,86.0,12512.0,0,0.0666666666666666,3.583,12.286,0,atsellazinovev1
0,3105,1,2012,2017,20.0,3.0,2211,0,1,0.0,134.0,486726.0,0,0.3125,5.583,19.143,0,ZeZiZurema
1,91271,1,2009,2023,5159.0,1764859.0,1188,2305,1,33.0,86.0,2287.0,1,0.7,8.333,28.571,1,kmichelle
0,4489,1,2008,2023,2655.0,992.0,7765,39,2,2.0,56.0,48523.0,1,0.4444444444444444,8.333,28.571,0,ajala_md
0,793,1,2020,2023,139.0,226.0,943,0,10,4.0,54.0,27997.0,0,0.3529411764705882,8.333,28.571,1,_JesusDaza_
0,729,0,2017,2017,0.0,1.0,352,0,1,0.0,150.0,68545.0,0,0.9333333333333332,6.917,23.714,1,MelitaFranzese
0,1834,0,2014,2017,0.0,4.0,1240,0,1,0.0,138.0,456072.0,0,0.0833333333333333,5.792,19.857,0,swallowcklly
0,7384,1,2010,2023,390.0,404.0,18097,2,1,6.0,106.0,403221.0,1,0.4,8.292,28.429,1,corleycline
1,17281,1,2011,2022,812.0,245611.0,5593,94,2,0.0,10.0,9295.0,0,0.5384615384615384,8.042,27.571,1,florivonVeliz
1,96327,1,2007,2023,3268.0,109275.0,6247,1657,1,44.0,12.0,764.0,0,0.0,8.333,28.571,0,dariogallo
0,42453,1,2009,2022,2569.0,2091.0,872,130,1,0.0,44.0,1178209.0,1,0.9090909090909092,8.083,27.714,0,MaxReddick
0,2480,1,2012,2017,0.0,5.0,1730,2,1,0.0,136.0,327388.0,0,0.4615384615384615,5.667,19.429,0,Liznewman1Liz
0,249,0,2016,2017,0.0,0.0,115,0,10,0.0,132.0,51946.0,0,0.5333333333333333,7.042,24.143,1,Oscarrog1828Rog
0,336,1,2018,2023,437.0,299.0,1280,1,1,1.0,100.0,1388156.0,1,0.5652173913043479,8.208,28.143,1,AMAntonsonPhD
0,2423,0,2012,2019,116.0,24.0,1622,0,10,0.0,32.0,269142.0,0,0.0,7.958,27.286,1,edwinjoselo
0,5145,1,2009,2023,653.0,530.0,6137,19,1,1.0,122.0,270032.0,1,0.3333333333333333,8.333,28.571,1,JuneUK
1,24129,1,2008,2023,119.0,4585436.0,43,36095,1,36.0,16.0,25083.0,1,0.75,8.333,28.571,1,paulkrugman
0,267,1,2011,2023,257.0,89.0,19,3,1,2.0,2.0,208.0,1,0.8666666666666667,8.333,28.571,0,PlayOnStudios
0,2051,0,2010,2017,0.0,20.0,1103,2,1,0.0,136.0,392570.0,0,0.1578947368421053,5.667,19.429,1,binick22
0,1827,0,2014,2017,0.0,2.0,1183,0,1,0.0,134.0,327771.0,0,0.0666666666666666,5.625,19.286,0,steels_rus
0,14056,1,2011,2017,0.0,202.0,67,9,1,0.0,136.0,270955.0,1,1.0,7.958,27.286,0,oBeeBle
0,19660,1,2009,2023,635.0,1053.0,30467,6,1,21.0,110.0,381014.0,1,0.7333333333333334,8.333,28.571,1,sassybritches05
0,6790,0,2014,2017,992.0,543.0,15169,1,1,0.0,20.0,85865.0,0,0.5555555555555556,7.75,26.571,1,Freya6742
1,13231,1,2009,2023,2085.0,5965.0,13801,92,1,0.0,158.0,35363.0,1,0.9333333333333332,8.333,28.571,1,PradeepDwivedi
0,19595,1,2010,2023,973.0,106798.0,7571,78,10,0.0,174.0,380.0,1,0.3636363636363636,8.292,28.429,1,belytrevino
0,3373,0,2013,2017,0.0,28.0,2384,4,1,0.0,136.0,327261.0,0,0.0714285714285714,5.708,19.571,0,Tavaris16
0,694,1,2014,2023,218.0,200.0,45,2,1,3.0,2.0,47.0,1,0.2727272727272727,8.333,28.571,1,armgroupinc
0,3380,1,2012,0,131.0,6.0,2410,0,0,0.0,0.0,0.0,0,0.1538461538461538,0.0,0.0,0,craftmine3
0,111580,1,2017,0,1713.0,916.0,134118,2,0,0.0,0.0,0.0,1,0.2105263157894736,0.0,0.0,1,Camilacabellnyc
1,15692,0,2009,2022,1974.0,1465976.0,3,6551,1,0.0,32.0,121417.0,1,0.3076923076923077,8.25,28.286,1,diggy_simmons
0,2290,1,2009,2022,504.0,311.0,4758,23,1,0.0,132.0,2125935.0,0,0.1333333333333333,8.25,28.286,1,eatpastry
0,37,0,2013,2022,43.0,3.0,485,0,8,0.0,30.0,672588.0,0,0.0,1.292,4.429,0,esragms86
1,79,1,2013,2023,3425.0,25041.0,44470,413,1,0.0,8.0,37485.0,1,0.0,1.5,5.143,1,AyresAlyssa
0,1559,1,2013,2019,125.0,133.0,41,2,1,0.0,0.0,3.0,1,0.6428571428571428,8.333,28.571,0,YourAirExperts
0,175019,1,2011,2023,5202.0,4939.0,136449,89,1,135.0,124.0,254195.0,1,0.9375,8.292,28.429,1,beshannonphotos
